Date,Time,Time2,Memory Used
10/29/2020,07:06:30,PM,49.2718
10/29/2020,07:03:30,PM,49.0608
10/29/2020,07:00:30,PM,48.9333
10/29/2020,06:57:30,PM,49.6145
10/29/2020,06:54:33,PM,48.9322
10/29/2020,06:51:30,PM,49.7674
10/29/2020,06:48:30,PM,50.2396
10/29/2020,06:45:30,PM,50.3817
10/29/2020,06:42:30,PM,50.5334
10/29/2020,06:39:30,PM,50.6434
10/29/2020,06:36:30,PM,50.5305
10/29/2020,06:33:30,PM,50.6489
10/29/2020,06:30:30,PM,50.5971
10/29/2020,06:27:30,PM,50.6078
10/29/2020,06:24:30,PM,50.3727
10/29/2020,06:21:30,PM,50.5041
10/29/2020,06:18:30,PM,50.5557
10/29/2020,06:15:30,PM,50.378
10/29/2020,06:12:30,PM,50.3092
10/29/2020,06:09:30,PM,50.2601
10/29/2020,06:06:31,PM,50.4168
10/29/2020,06:03:30,PM,50.3015
10/29/2020,06:00:30,PM,50.3055
10/29/2020,05:57:30,PM,50.1892
10/29/2020,05:54:30,PM,49.9576
10/29/2020,05:51:30,PM,50.1769
10/29/2020,05:48:30,PM,50.024
10/29/2020,05:45:30,PM,49.9486
10/29/2020,05:42:30,PM,49.8804
10/29/2020,05:39:30,PM,49.1861
10/29/2020,05:36:30,PM,49.1674
10/29/2020,05:33:30,PM,49.64
10/29/2020,05:30:30,PM,49.3288
10/29/2020,05:27:30,PM,49.4022
10/29/2020,05:24:30,PM,48.9733
10/29/2020,05:21:30,PM,48.3289
10/29/2020,05:18:30,PM,48.2334
10/29/2020,05:15:30,PM,48.1246
10/29/2020,05:12:30,PM,48.7057
10/29/2020,05:09:30,PM,48.8934
10/29/2020,05:06:30,PM,48.2811
10/29/2020,05:03:30,PM,48.0219
10/29/2020,05:00:30,PM,48.0437
10/29/2020,04:57:30,PM,48.0753
10/29/2020,04:54:30,PM,48.1009
10/29/2020,04:51:30,PM,48.3195
10/29/2020,04:48:30,PM,48.3757
10/29/2020,04:45:30,PM,48.3256
10/29/2020,04:42:30,PM,48.2336
10/29/2020,04:39:30,PM,48.2011
10/29/2020,04:36:30,PM,47.9424
10/29/2020,04:33:30,PM,48.3446
10/29/2020,04:30:30,PM,48.3686
10/29/2020,04:27:30,PM,48.0546
10/29/2020,04:24:30,PM,49.0852
10/29/2020,04:21:30,PM,48.5971
10/29/2020,04:18:30,PM,48.7112
10/29/2020,04:15:30,PM,50.4214
10/29/2020,04:12:30,PM,50.3201
10/29/2020,04:09:30,PM,49.9629
10/29/2020,04:06:30,PM,50.1655
10/29/2020,04:03:30,PM,50.1351
10/29/2020,04:00:30,PM,50.6732
10/29/2020,03:57:30,PM,50.3727
10/29/2020,03:54:30,PM,49.7829
10/29/2020,03:51:30,PM,49.5806
10/29/2020,03:48:30,PM,49.4036
10/29/2020,03:45:30,PM,49.3854
10/29/2020,03:42:30,PM,49.7457
10/29/2020,03:39:30,PM,50.3441
10/29/2020,03:36:30,PM,50.0984
10/29/2020,03:33:30,PM,49.2145
10/29/2020,03:30:30,PM,49.231
10/29/2020,03:27:30,PM,49.0282
10/29/2020,03:24:30,PM,49.1865
10/29/2020,03:21:30,PM,49.4978
10/29/2020,03:18:30,PM,48.9415
10/29/2020,03:15:30,PM,48.8702
10/29/2020,03:12:30,PM,48.8542
10/29/2020,03:09:30,PM,49.735
10/29/2020,03:06:30,PM,49.7886
10/29/2020,03:03:30,PM,49.7737
10/29/2020,03:00:30,PM,49.7653
10/29/2020,02:57:30,PM,49.8061
10/29/2020,02:54:30,PM,50.0344
10/29/2020,02:51:30,PM,50.424
10/29/2020,02:48:30,PM,49.7312
10/29/2020,02:45:30,PM,49.6062
