Date,time,Allocate memory,%used
2020/10/31,00:36:45,1604075805,27.3551
2020/10/31,00:33:45,1604075625,27.4165
2020/10/31,00:30:45,1604075445,27.5299
2020/10/31,00:27:45,1604075265,27.4012
2020/10/31,00:24:45,1604075085,27.1772
2020/10/31,00:21:45,1604074905,27.2114
2020/10/31,00:18:45,1604074725,27.1542
2020/10/31,00:15:45,1604074545,27.1097
2020/10/31,00:12:45,1604074365,37.3361
2020/10/31,00:09:45,1604074185,27.7824
2020/10/31,00:06:45,1604074005,28.3154
2020/10/31,00:03:45,1604073825,33.5406
2020/10/31,00:00:45,1604073645,35.3086
2020/10/30,23:57:45,1604073465,27.3743
2020/10/30,23:54:45,1604073285,28.4829
2020/10/30,23:51:45,1604073105,28.3256
2020/10/30,23:48:45,1604072925,29.5719
2020/10/30,23:45:45,1604072745,29.2429
2020/10/30,23:42:46,1604072566,26.0808
2020/10/30,23:39:45,1604072385,26.8971
2020/10/30,23:36:45,1604072205,26.4492
2020/10/30,23:33:45,1604072025,28.0897
2020/10/30,23:30:45,1604071845,28.2334
2020/10/30,23:27:45,1604071665,34.9343
2020/10/30,23:24:45,1604071485,28.3681
2020/10/30,23:21:45,1604071305,32.5438
2020/10/30,23:18:45,1604071125,26.613
2020/10/30,23:15:45,1604070945,28.6531
2020/10/30,23:12:45,1604070765,29.0124
2020/10/30,23:09:45,1604070585,28.329
2020/10/30,23:06:45,1604070405,30.3012
2020/10/30,23:03:45,1604070225,29.7158
2020/10/30,23:00:45,1604070045,27.9747
2020/10/30,22:57:45,1604069865,27.1432
2020/10/30,22:54:45,1604069685,27.65
2020/10/30,22:51:45,1604069505,28.1648
2020/10/30,22:48:45,1604069325,28.1328
2020/10/30,22:45:45,1604069145,29.3557
2020/10/30,22:42:45,1604068965,28.1537
2020/10/30,22:39:45,1604068785,29.1866
2020/10/30,22:36:45,1604068605,28.589
2020/10/30,22:33:45,1604068425,44.4442
2020/10/30,22:30:45,1604068245,29.6654
2020/10/30,22:27:45,1604068065,29.9835
2020/10/30,22:24:45,1604067885,29.226
2020/10/30,22:21:45,1604067705,29.0149
2020/10/30,22:18:45,1604067525,29.1131
2020/10/30,22:15:45,1604067345,29.4808
2020/10/30,22:12:45,1604067165,29.2241
2020/10/30,22:09:45,1604066985,31.3276
2020/10/30,22:06:45,1604066805,29.8313
2020/10/30,22:03:45,1604066625,30.8785
2020/10/30,22:00:45,1604066445,28.4062
2020/10/30,21:57:45,1604066265,28.0233
2020/10/30,21:54:45,1604066085,28.0032
2020/10/30,21:51:45,1604065905,28.0413
2020/10/30,21:48:45,1604065725,30.1283
2020/10/30,21:45:45,1604065545,32.4856
2020/10/30,21:42:45,1604065365,33.4454
2020/10/30,21:39:46,1604065186,33.4883
2020/10/30,21:36:45,1604065005,33.0255
2020/10/30,21:33:45,1604064825,32.9833
2020/10/30,21:30:45,1604064645,33.2477
2020/10/30,21:27:45,1604064465,29.4259
2020/10/30,21:24:45,1604064285,29.512
2020/10/30,21:21:45,1604064105,30.1712
2020/10/30,21:18:45,1604063925,30.3875
2020/10/30,21:15:45,1604063745,30.1887
2020/10/30,21:12:45,1604063565,30.5681
2020/10/30,21:09:45,1604063385,28.2087
2020/10/30,21:06:45,1604063205,30.5246
2020/10/30,21:03:45,1604063025,31.0793
2020/10/30,21:00:45,1604062845,29.5001
2020/10/30,20:57:45,1604062665,29.2751
2020/10/30,20:54:45,1604062485,33.2498
2020/10/30,20:51:45,1604062305,32.6129
2020/10/30,20:48:45,1604062125,28.7398
2020/10/30,20:45:45,1604061945,27.3027
2020/10/30,20:42:45,1604061765,28.0417
2020/10/30,20:39:45,1604061585,27.6498
2020/10/30,20:36:45,1604061405,27.4367
2020/10/30,20:33:45,1604061225,27.5868
2020/10/30,20:30:45,1604061045,28.7336
2020/10/30,20:27:46,1604060866,28.406
2020/10/30,20:24:46,1604060686,28.1675
2020/10/30,20:21:45,1604060505,28.4768
2020/10/30,20:18:45,1604060325,27.8765
2020/10/30,20:15:45,1604060145,27.6286
2020/10/30,20:12:45,1604059965,28.7676
2020/10/30,20:09:45,1604059785,29.1773
2020/10/30,20:06:45,1604059605,30.671
2020/10/30,20:03:45,1604059425,31.2345
